PO Number,PO Item,Latest Valid GR,Latest Valid GR Posting Date,GR Amt,Invoice Amt,Down Payment Amt,Down Payment Clearing
4500000069,20,,,79646.0,79646.0,0.0,0.0
4500000069,30,,,164159.28,164159.28,0.0,0.0
4500000069,40,,,18584.07,18584.07,0.0,0.0
4500000069,50,,,33982.3,33982.3,0.0,0.0
4500000069,60,,,16460.18,16460.18,0.0,0.0
4500000070,10,,,1150.44,1150.44,0.0,0.0
4500000071,10,,,43008.85,43008.85,0.0,0.0
4500000072,10,,,6371.68,6371.68,0.0,0.0
4500000073,10,,,10619.47,10619.47,0.0,0.0
4500000073,20,,,2654.87,2654.87,0.0,0.0
4500000074,10,,,16672.57,16672.57,0.0,0.0
4500000075,10,,,1840.71,1840.71,0.0,0.0
4500000075,20,,,1734.51,1734.51,0.0,0.0
4500000076,10,,,4778.76,4778.75,0.0,0.0
4500000077,10,,,1380.53,1380.53,0.0,0.0
4500000077,20,,,1247.79,1247.79,0.0,0.0
4500000077,30,,,1247.79,1247.79,0.0,0.0
4500000077,40,,,1247.79,1247.79,0.0,0.0
4500000077,50,,,1380.53,1380.53,0.0,0.0
4500000077,60,,,1380.53,1380.53,0.0,0.0
4500000077,70,,,1380.53,1380.53,0.0,0.0
4500000078,10,,,1380.53,1380.53,0.0,0.0
4500000078,20,,,1380.53,1380.53,0.0,0.0
4500000078,30,,,1247.79,1247.79,0.0,0.0
4500000078,40,,,1380.53,1380.53,0.0,0.0
4500000078,50,,,1380.53,1380.53,0.0,0.0
4500000078,60,,,1380.53,1380.53,0.0,0.0
4500000078,70,,,1380.53,1380.53,0.0,0.0
4500000079,10,,,58380.53,58380.53,0.0,0.0
4500000080,10,,,63893.81,63893.81,0.0,0.0
4500000081,10,,,174520.35,174520.35,0.0,0.0
4500000081,20,,,51091.33,54692.92,0.0,0.0
4500000081,30,,,122446.73,133203.54,0.0,0.0
4500000081,40,,,20230.09,20230.09,0.0,0.0
4500000082,10,,,11330.97,11330.97,0.0,0.0
4500000082,20,,,6438.41,6438.41,0.0,0.0
4500000082,30,,,2527.08,2527.08,0.0,0.0
4500000083,10,,,6194.69,6194.69,0.0,0.0
4500000084,10,,,3451.33,3451.33,0.0,0.0
4500000084,20,,,1327.43,1327.43,0.0,0.0
4500000085,10,,,19761.06,19761.06,0.0,0.0
4500000086,10,,,5309.73,6000.0,0.0,0.0
4500000086,20,,,424.78,480.0,0.0,0.0
4500000087,10,,,20353.98,20353.98,0.0,0.0
4500000087,20,,,17699.12,17699.12,0.0,0.0
4500000088,10,,,192477.88,192477.87,0.0,0.0
4500000089,10,,,1933.63,1933.63,0.0,0.0
4500000089,20,,,1424.78,1424.78,0.0,0.0
4500000089,30,,,3867.26,3867.26,0.0,0.0
4500000089,40,,,10380.53,10380.53,0.0,0.0
4500000090,10,,,26548.67,26548.67,0.0,0.0
4500000090,20,,,5775.0,5775.0,0.0,0.0
4500000091,10,,,3917.26,3917.25,0.0,0.0
4500000091,20,,,14426.55,14426.55,0.0,0.0
4500000091,30,,,20818.41,20818.41,0.0,0.0
4500000092,10,,,18849.56,18849.56,0.0,0.0
4500000093,10,,,86371.68,86371.67,0.0,0.0
4500000093,20,,,7637.17,7637.17,0.0,0.0
4500000093,30,,,12424.78,12424.78,0.0,0.0
4500000093,40,,,49380.53,49380.53,0.0,0.0
4500000093,50,,,37530.97,37530.97,0.0,0.0
4500000094,10,,,15575.22,15575.22,0.0,0.0
4500000094,20,,,26265.49,26265.49,0.0,0.0
4500000094,30,,,9911.5,9911.5,0.0,0.0
4500000094,40,,,11415.93,11415.93,0.0,0.0
4500000094,50,,,4646.02,4646.02,0.0,0.0
4500000095,10,,,9557.52,9557.53,0.0,0.0
4500000095,20,,,1592.92,1592.92,0.0,0.0
4500000096,10,,,3318.58,3318.58,0.0,0.0
4500000097,10,,,14088.5,14088.5,0.0,0.0
4500000098,10,,,25840.71,25840.71,0.0,0.0
4500000099,10,,,2265.49,2265.49,0.0,0.0
4500000100,10,,,6809.73,6809.73,0.0,0.0
4500000101,10,,,141.59,141.58,0.0,0.0
4500000102,10,,,353.98,353.98,0.0,0.0
4500000102,20,,,2647.79,2647.79,0.0,0.0
4500000102,30,,,3681.42,3681.42,0.0,0.0
4500000102,40,,,7079.65,7079.65,0.0,0.0
4500000102,50,,,3682.3,3682.3,0.0,0.0
